datetime,Fpar,Lai,FparLai_QC,SiteID
2002-07-04,0.92,6.0,32,CA-Oas
2002-07-08,0.9400000000000001,6.6000000000000005,32,CA-Oas
2002-07-12,0.89,4.6000000000000005,32,CA-Oas
2002-07-16,0.93,6.2,32,CA-Oas
2002-07-20,0.91,5.5,32,CA-Oas
2002-07-24,0.91,5.7,34,CA-Oas
2002-07-28,0.91,5.2,97,CA-Oas
2002-08-05,0.01,0.0,105,CA-Oas
2002-08-09,0.93,5.7,32,CA-Oas
2002-08-13,0.22,0.5,107,CA-Oas
2002-08-17,0.92,5.4,32,CA-Oas
2002-08-21,0.9,4.9,32,CA-Oas
2002-08-25,0.91,5.1000000000000005,34,CA-Oas
2002-08-29,0.9,4.800000000000001,34,CA-Oas
2002-09-02,0.73,2.6,97,CA-Oas
2002-09-06,0.89,4.6000000000000005,32,CA-Oas
2002-09-10,0.9,4.5,34,CA-Oas
2002-09-14,0.92,4.7,32,CA-Oas
2002-09-18,0.92,4.5,34,CA-Oas
2002-09-22,0.9,4.3,32,CA-Oas
2002-09-26,0.92,4.6000000000000005,32,CA-Oas
2002-09-30,0.29,0.7000000000000001,97,CA-Oas
2002-10-04,0.38,0.6000000000000001,10,CA-Oas
2002-10-08,0.73,1.6,0,CA-Oas
2002-10-12,0.04,0.1,105,CA-Oas
2002-10-16,0.37,0.5,0,CA-Oas
2002-10-20,0.43,0.6000000000000001,2,CA-Oas
2002-10-24,0.01,0.0,105,CA-Oas
2002-10-28,0.37,0.5,16,CA-Oas
2002-11-01,0.34,0.5,0,CA-Oas
2002-11-05,0.02,0.0,75,CA-Oas
2002-11-09,0.27,0.6000000000000001,67,CA-Oas
2002-11-13,0.34,0.8,67,CA-Oas
2002-11-17,0.26,0.6000000000000001,65,CA-Oas
2002-11-21,0.25,0.6000000000000001,67,CA-Oas
2002-11-25,0.32,0.7000000000000001,67,CA-Oas
2002-11-29,0.14,0.30000000000000004,67,CA-Oas
2002-12-03,0.08,0.2,83,CA-Oas
2002-12-07,0.08,0.2,67,CA-Oas
